project_id,n_tasks,n_employees,n_dependencies,det_duration_days,p10,p50,p90,schedule_risk_ratio,det_vs_p50_delta,critical_path_tasks,avg_employee_efficiency,mc_success,error_msg
a549350f-485a-4716-b39a-5eef84e891c3,12,9,9,2460,2205,2537,2934,0.1565,77,2,1.0,True,
d21d0ff7-dcf5-4860-90ac-862250e900b3,68,16,55,370,389,421,460,0.0926,51,2,1.0,True,
ba5b1793-ec17-4477-89c3-a04df8bff853,70,12,40,718,621,740,870,0.1757,22,2,1.0,True,
1309ca17-3c90-4786-a954-1f4d9e0d6675,49,25,39,611,573,653,742,0.1363,42,2,1.1161,True,
8443571e-acd1-47bf-9893-632aa9f66a97,30,17,20,458,417,477,545,0.1426,19,2,1.0709,True,
c9e8a0a6-812d-4c71-9edf-4d632a876fc8,12,18,5,444,371,459,566,0.2331,15,1,1.0,True,
3db5d09b-e40e-4a40-81c8-8e0da681d188,42,16,37,777,691,802,917,0.1434,25,2,1.0,True,
34edfe22-facd-4272-bba6-e3c8106815cd,42,25,39,2080,1848,2151,2476,0.1511,71,2,1.2709,True,
18ba146c-18cb-4f5e-8019-0a6f86d9b3e6,16,10,12,810,756,871,982,0.1274,61,2,1.0,True,
2df7071d-1894-4d62-84b0-030b9b97a873,41,9,37,697,617,719,834,0.1599,22,2,1.0,True,
9e9a307e-96fc-4307-82fa-e1c348bca0a6,16,6,12,1308,1230,1408,1580,0.1222,100,2,1.0,True,
841a7efc-21a3-434a-ab1c-2d7a01c48331,12,13,8,2372,2153,2467,2831,0.1475,95,2,1.0,True,
6c993a18-3bc9-40a7-9d5f-9feb95cce15d,24,5,14,834,790,888,990,0.1149,54,2,1.0,True,
cfac57b8-64b0-4c70-b28f-9ee1aa5cc31a,19,53,10,6894,6417,7317,8412,0.1497,423,2,1.1133,True,
490ed059-bffc-4a73-b060-d7e24470897a,20,9,17,1081,1008,1149,1307,0.1375,68,2,1.0,True,
4077568b-7926-4e7a-a581-a447c015d3cc,12,17,6,716,628,732,854,0.1667,16,2,1.0,True,
4e2b312e-14c8-4ea1-af47-757dbdf11e3e,6,20,5,2613,2303,2692,3096,0.1501,79,2,1.0,True,
48b61325-731a-48d7-8ace-6fe13d35e35b,8,18,7,2679,2394,2767,3175,0.1475,88,2,1.1633,True,
817265dd-20c3-44b6-9ad5-77994c367a67,18,13,14,2217,1959,2275,2642,0.1613,58,2,1.2509,True,
a159feaa-e50e-4076-a7c8-9e557ca7a4d2,49,22,32,360,326,373,426,0.1421,13,2,1.3394,True,
63642fcb-630d-4a7e-adc7-45f06506be7f,38,10,20,979,905,1019,1164,0.1423,40,2,1.0,True,
833ec506-ccfe-457a-920c-bc9a94bea4bc,37,5,16,326,268,332,414,0.247,6,1,1.3714,True,
0cbb5824-58d4-4602-a368-9e88ba7534fc,12,14,10,1171,1097,1230,1389,0.1293,59,2,1.1559,True,
248e0af0-2e72-429e-9d0d-c9caedc7ddf7,6,2,3,1312,1144,1339,1580,0.18,27,2,1.0,True,
